review_id,product_id,agent_name,sound,noise_cancel,comfort,customer_care,microphone,connectivity,price,built,bluetooth,bass,review_text
288754,125,SIDAK,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,My son was so excited to get these Beats. They are awesome.
292478,129,SIDAK,positive,Not discussed,positive,Not discussed,Not discussed,Not discussed,positive,Not discussed,Not discussed,Not discussed,I was skeptical. No doubt now these are fantastic. I bought them to replace my jabra sport paces. They looked similar and I prefer the over the ear hold. They sound amazing. Have an excellent fit in the ear. Includes multiple pieces to change and customize the fit. Very good sound quality. Extremely happy. Hands down would purchase again compared to bigger name competition prices.
297005,134,SIDAK,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,negative,Not discussed,Not discussed,"When I received the item, the right side wasnt working."
286268,123,SIDAK,Not discussed,Not discussed,neutral,Not discussed,Not discussed,Not discussed,Not discussed,positive,Not discussed,Not discussed,They are good but a little on the small side for a 6??? male with probably larger than normal ears. The Bose 35s are more comfortable to wear for hours. I have taken these on (2) 30 hour overseas trips and the battery lasted the entire trip which is no small feet. I picked these vs the Bose because I like the integrated controls better. Once you get the hang of the touch controls it is nice....not perfect but nice.
292077,129,SIDAK,neutral,Not discussed,positive,Not discussed,Not discussed,Not discussed,positive,neutral,Not discussed,negative,"Of all the under-$30 headphones I've used, this one is the best. Hands down.I used to own the Soundbuds Slim (before I lost them...), and those were also great. But these things last WAY longer (mine haven't died on me yet, and I charged them three days ago) and have a slightly better sound. They also fit very well. Once you get over how big they are, they feel amazing.The neck clip is a godsend, because the wire on these tends to flop around, and the volume controller weighs it unevenly to the right. If you're going running with these or walking a long time, you may want to use the clip to keep yourself from going crazy.A note on the sound. For the price, it's unbeatable. Remember that these are bluetooth earphones for under thirty bucks, so don't expect Sennheiser. That being said, it's still noticeably worse than a good pair of wired earphones at a similar price - the bass is way too much and the treble feels muted. You won't be getting very sharp or crystal clear sounds from these. But if you use your phone's equalizer, you're not a sound connoisseur, and you're willing to sacrifice a little to get a pair of headphones at a ridiculously affordable price, you won't be disappointed.Lastly, the case is awesome. It's a bit tough to put them away at first, but usually I just use three fingers to wrap them up and shove it in. Works sometimes, every time. But besides that, it's a wonderful case, MILES better than the shoddy bag they include with the Soundbuds Slim.Kudos to Anker for putting such a good product out there for this price."
295639,132,SIDAK,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,negative,Not discussed,Not discussed,Not discussed,Not discussed,unable to pair with windows 7 only
308102,145,SIDAK,positive,positive,Not discussed,Not discussed,Not discussed,neutral,Not discussed,Not discussed,Not discussed,Not discussed,The sound quality is great. The noise cancellation is amazing. One thing I noticed about most true wireless buds is when outside in open spaces it's best to try and keep your phone close to the buds for the best sound quality otherwise the buds and phone have a harder time staying connected  because of the open environment. These are a must buy!! I really enjoy them.
283733,120,SIDAK,positive,Not discussed,positive,Not discussed,Not discussed,Not discussed,positive,Not discussed,Not discussed,Not discussed,Great headphones for my kids to use in school. The sound seems decent especially for the price. I like that these don't feel flimsy and would think they should last the school year. They fold up nice and fit nice for kids and adults.
292645,129,SIDAK,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,negative,Not discussed,Not discussed,This product is so poor! Used it only a few times and battery life decreased drastically after every use then quit working all together! DONT BUY AND SAVE YOUR MONEY! Seller won???t even reconcile broken products. They must know it was built as a one time use disposable product
292337,129,SIDAK,Not discussed,Not discussed,Not discussed,positive,Not discussed,Not discussed,Not discussed,negative,Not discussed,Not discussed,"REVISED review.... original review is below. I had a problem and the Anker folks sent me another pair... very helpful and friendly.ORIGINAL review...they discharge when not being used, powered off... I have some backup headphones in my gym bag- motorola s305. The motos were not advertised as sweatproof (Ankers are advertised as such) but they have worked pretty well for a long period of time.... Sometimes need to dry out of they take on a ton of sweat. I am going to try to return these Ankers."
283922,120,SIDAK,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,negative,Not discussed,negative,"It's a good headset, but you don't feel the bass you can only hear it and they get very hot after awhile."
284617,121,SIDAK,Not discussed,Not discussed,positive,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,These have great ear placement for the ear phone and also is decently balanced as the weight of the controller (will be on your right hand side) is easy to access as well.
304533,141,Akshay,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,Vgood
291786,128,Akshay,negative,Not discussed,negative,Not discussed,negative,Not discussed,Not discussed,Not discussed,negative,Not discussed,Terrible digital to analog conversion. Midrange sounds like a grainy shell of a sound. BT in general isn???t great but these are bad. My apple earbuds which barely stay in my ears sound tremendously better than these and they were free. Wired is better but if you have to get wireless. The JBL reflect 2 are much better sounding.
298733,135,Akshay,Not discussed,positive,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,works pretty well blocking out the noise
308118,145,Akshay,positive,Not discussed,Not discussed,Not discussed,Not discussed,positive,Not discussed,Not discussed,Not discussed,Not discussed,Awesome product for the $!  I went from ear buds with the strap these. I am glad I lost those so that I could upgrade to these  These are so freeing!  Great sound quality and the automatic pairing when you take them out of the case is a great feature. I missed that and figured it out on day two!  Have already recommended to friends and family!
289659,126,Akshay,Not discussed,Not discussed,positive,neutral,Not discussed,neutral,Not discussed,Not discussed,Not discussed,Not discussed,"These were great for the week that they worked.  Battery life was as advertised & I went a full week of going to the gym without having to recharge them.  Today they crapped out on me after fully recharging them.  They disconnected from my phone randomly & now they won???t connect all together.  Not sure if the ones I got were defective or not, hopefully the seller will reach out and provide me with a replacement set as They are super comfortable for running with"
305848,143,Akshay,Not discussed,Not discussed,Not discussed,positive,Not discussed,Not discussed,positive,positive,Not discussed,Not discussed,"Purchased headset for kids in March. I liked the style and the features.I have a 4yr old son and 5yr old daughter. My son is just like any other 4yr old boy, destructive. And I must say that the headphone was durable. Easy to put away and carry around. My issue is the wiring. Nowadays, most companies go from hard plastic outing to fiber/mess outing on products that has wiring. The problem with that is no protection for the inside wiring. To loose and flimsy. Two months down the line, the headset wiring had a shortage. Contacted Amazon and no worries. They credited my account. Re-order exact same headphone for son and 2 months later, same issue, shortage in wiring and at the same area, near the base of the headset. So I decided try another brand, but honestly for the headsets I looked for (under $25) the reviews are equally the same. Now my dilemma is to invest in more expensive headsets or keep searching for cost effective ones that I am sure want last past 6 months. Hmmmmm"
284175,121,Akshay,neutral,neutral,positive,positive,Not discussed,Not discussed,Not discussed,positive,Not discussed,Not discussed,"I got these from Amazon a few weeks ago and I was pretty excited about them out of the box. The battery lasts me through about 10 hours of non-continuous music and podcasts during my normal workday. The earpiece is quite comfortable, but doesn't block too much sound so that I don't mind wearing them while I am walking around outside. Sound quality is about what you'd expect from the price.. doesn't compare in any way to my Bose earbuds, but certainly does the job.My main complaint is that after only a few weeks of using them, there is a big ugly chip in the paint coating on one earpiece, and I can tell there are some other chips about to break off too. Really disappointing... my earbuds now look gross and old, even though they are basically brand new. I have kept them around my neck or in their carrying case the whole time I have owned them. Next time I will shell out a little extra money for a product that keeps its integrity a bit longer.EDIT: Customer service reached out to me and offered me a free pair of the updated Q35 earbuds. I really appreciate their willingness to send a new product after mine chipped so quickly. The pair that I received has a different type of coating on the earbud that I think will last much longer. Very happy with them for the past two weeks and I would consider buying again."
299832,136,Akshay,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,Very nice.
303741,140,Akshay,positive,neutral,Not discussed,positive,Not discussed,Not discussed,positive,Not discussed,Not discussed,Not discussed,"Good price for headphones, but my headphones came with a faulty charger plug! It has a short in it so it's hard to charge my headphones. Other than that the sound quality is amazing but the noise cancelling could be betterUpdate: was contacted by seller about the issue.... Great customer service!!!"
290651,127,Akshay,positive,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,"Headphones work great, nice you don???t have to buy batteries.  Sound is good too."
290220,127,Akshay,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,neutral,Not discussed,Not discussed,"The battery Is pretty good. I used it on and off at work and running for a month, and I did not need to recharge.I have a very small head, so the thing looks wide and huge on me. But it stays even when I run with it.The one thing I dislike about it (and it may not be the headphones fault) is the + and - buttons on the headphones. You would think it is used to adjust for volume. But instead, they act as more of a forward and backward button; I use it to skip a song, for example."
281859,118,Akshay,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,Not discussed,Great product. Very happy
